mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	2/4	2	1	e.i{	e	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1	0.5	1/4	1/4	2/4	2	1	V6	e	i		V6	V		6					M	1	1	5, 2, 1		1	5
1	1	3/2	3/2	0.5	3/8	3/8	2/4	2	1	viio6/VI	e	i		viio6/VI	vii	o	6		VI			o	1	1	-2, -5, 1		1	-2
2	2	2	2	0.5	0	0	2/4	2	1	#viio6(2)/V	e	i		#viio6(2)/V	#vii	o	6	2	V			o	1	1	3, 0, 1		6	3
2	2	5/2	5/2	1.0	1/8	1/8	2/4	2	1	#viio6/V	e	i		#viio6/V	#vii	o	6		V			o	1	1	3, 0, 6		6	3
2	2	7/2	7/2	0.5	3/8	3/8	2/4	2	1	III.iio6	e	III		iio6	ii	o	6					o	1	0	-1, -4, 2		2	-1
3	3	4	4	0.5	0	0	2/4	2	1	I6(9)	e	III		I6(9)	I		6	9				M	1	0	4, 1, 0	2	0	4
3	3	9/2	9/2	0.5	1/8	1/8	2/4	2	1	I6	e	III		I6	I		6					M	1	0	4, 1, 0		0	4
3	3	5	5	0.5	1/4	1/4	2/4	2	1	V43	e	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
3	3	11/2	11/2	0.25	3/8	3/8	2/4	2	1	V43(4)	e	III		V43(4)	V		43	4				Mm7	1	0	2, -1, 1, 0		1	2
3	3	23/4	23/4	0.75	7/16	7/16	2/4	2	1	I	e	III		I	I							M	1	0	0, 4, 1		0	0
4	4	13/2	13/2	0.5	1/8	1/8	2/4	2	1	I6	e	III		I6	I		6					M	1	0	4, 1, 0		0	4
4	4	7	7	1.5	1/4	1/4	2/4	2	1	V[V|HC}	e	III	V	V	V					HC	}	M	1	0	1, 5, 2		1	1
5	5	8	8	0.0	0	0	2/4	2	1	{	e	III	V								{		1	0				
5	5	17/2	17/2	0.5	1/8	1/8	2/4	2	1	V(64)	e	III	V	V(64)	V			64				M	1	0	1, 0, 4		1	1
5	5	9	9	0.5	1/4	1/4	2/4	2	1	V	e	III	V	V	V							M	1	0	1, 5, 2		1	1
5	5	19/2	19/2	0.5	3/8	3/8	2/4	2	1	viio64/V	e	III	V	viio64/V	vii	o	64		V			o	1	0	0, 6, 3		6	0
6	6	10	10	2.0	0	0	2/4	2	1	V]	e	III	V	V	V							M	1	0	1, 5, 2		1	1
7	7	12	12	0.5	0	0	2/4	2	1	V2	e	III		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
7	7	25/2	25/2	0.5	1/8	1/8	2/4	2	1	I6	e	III		I6	I		6					M	1	0	4, 1, 0		0	4
7	7	13	13	0.5	1/4	1/4	2/4	2	1	V43	e	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
7	7	27/2	27/2	0.25	3/8	3/8	2/4	2	1	V43(4)	e	III		V43(4)	V		43	4				Mm7	1	0	2, -1, 1, 0		1	2
7	7	55/4	55/4	0.75	7/16	7/16	2/4	2	1	I	e	III		I	I							M	1	0	0, 4, 1		0	0
8	8	29/2	29/2	0.5	1/8	1/8	2/4	2	1	I6	e	III		I6	I		6					M	1	0	4, 1, 0		0	4
8	8	15	15	1.0	1/4	1/4	2/4	2	1	V|HC}	e	III		V	V					HC	}	M	1	0	1, 5, 2		1	1
9	9	16	16	0.5	0	0	2/4	2	1	i.i{	e	i		i	i						{	m	1	1	0, -3, 1		0	0
9	9	33/2	33/2	0.5	1/8	1/8	2/4	2	1	i6	e	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
9	9	17	17	1.0	1/4	1/4	2/4	2	1	ii%65	e	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
10	10	18	18	1.25	0	0	2/4	2	1	V	e	i		V	V							M	1	1	1, 5, 2		1	1
10	10	77/4	77/4	0.25	5/16	5/16	2/4	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
10	10	39/2	39/2	0.5	3/8	3/8	2/4	2	1	VI.V	e	VI		V	V							M	1	0	1, 5, 2		1	1
11	11	20	20	0.5	0	0	2/4	2	1	I	e	VI		I	I							M	1	0	0, 4, 1		0	0
11	11	41/2	41/2	0.5	1/8	1/8	2/4	2	1	I6	e	VI		I6	I		6					M	1	0	4, 1, 0		0	4
11	11	21	21	1.0	1/4	1/4	2/4	2	1	ii65	e	VI		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
12	12	22	22	1.0	0	0	2/4	2	1	V	e	VI		V	V							M	1	0	1, 5, 2		1	1
12	12	23	23	0.5	1/4	1/4	2/4	2	1	I}	e	VI		I	I						}	M	1	0	0, 4, 1		0	0
12	12	47/2	47/2	0.5	3/8	3/8	2/4	2	1	i.V(6){	e	i		V(6)	V			6			{	M	1	1	1, 5, -3		1	1
13	13	24	24	1.0	0	0	2/4	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
13	13	25	25	0.5	1/4	1/4	2/4	2	1	V6	e	i		V6	V		6					M	1	1	5, 2, 1		1	5
13	13	51/2	51/2	0.5	3/8	3/8	2/4	2	1	viio6/VI	e	i		viio6/VI	vii	o	6		VI			o	1	1	-2, -5, 1		1	-2
14	14	26	26	0.5	0	0	2/4	2	1	viio6(2)/V	e	i		viio6(2)/V	vii	o	6	2	V			o	1	1	3, 0, 1		6	3
14	14	53/2	53/2	1.0	1/8	1/8	2/4	2	1	viio6/V	e	i		viio6/V	vii	o	6		V			o	1	1	3, 0, 6		6	3
14	14	55/2	55/2	0.5	3/8	3/8	2/4	2	1	III.iio6	e	III		iio6	ii	o	6					o	1	0	-1, -4, 2		2	-1
15	15	28	28	0.5	0	0	2/4	2	1	I6(9)	e	III		I6(9)	I		6	9				M	1	0	4, 1, 0	2	0	4
15	15	57/2	57/2	0.5	1/8	1/8	2/4	2	1	I6	e	III		I6	I		6					M	1	0	4, 1, 0		0	4
15	15	29	29	0.5	1/4	1/4	2/4	2	1	V43	e	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
15	15	59/2	59/2	0.25	3/8	3/8	2/4	2	1	V43(4)	e	III		V43(4)	V		43	4				Mm7	1	0	2, -1, 1, 0		1	2
15	15	119/4	119/4	0.75	7/16	7/16	2/4	2	1	I	e	III		I	I							M	1	0	0, 4, 1		0	0
