mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	2/4	1/2	0						firstMeasure	2
2	2	1	2/4	1/2	0							3
3	3	1	2/4	1/2	0							4
4	4	1	2/4	1/2	0					line		5
5	5	1	2/4	1/2	0							6
6	6	1	2/4	1/2	0							7
7	7	1	2/4	1/2	0							8
8	8	1	2/4	1/2	0				double			9
9	9	4	2/4	1/2	0							10
10	10	4	2/4	1/2	0							11
11	11	4	2/4	1/2	0							12
12	12	4	2/4	1/2	0					line		13
13	13	4	2/4	1/2	0							14
14	14	4	2/4	1/2	0							15
15	15	4	2/4	1/2	0							16
16	16	4	2/4	1/2	0				double			17
17	17	4	2/4	1/2	0					line		18
18	18	4	2/4	1/2	0							19
19	19	4	2/4	1/2	0							20
20	20	4	2/4	1/2	0							21
21	21	4	2/4	1/2	0							22
22	22	4	2/4	1/2	0					line		23
23	23	4	2/4	1/2	0							24
24	24	4	2/4	1/2	0				double			25
25	25	1	2/4	1/2	0							26
26	26	1	2/4	1/2	0					line		27
27	27	1	2/4	1/2	0							28
28	28	1	2/4	1/2	0							29
29	29	1	2/4	1/2	0							30
30	30	1	2/4	1/2	0							31
31	31	1	2/4	1/2	0							32
32	32	1	2/4	1/2	0				end		lastMeasure	-1
