piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	score_integrity	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	imslp	musicbrainz	viaf	wikidata	comments	pdf	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
n01	1: 2/4	1: 1	22	22	44.0	44	44	88.0		134.33	241	141	0	0	44	G	2.3.0	Tal Soker (2.1.1), John Heilig (2.3.0)	AN, JHei, JH	Tom Schreyer	1838	1839	OxfordMusicOnline	Robert Schumann	Kinderszenen	1	Von fremden Ländern und Menschen	Op.15					2017-03-11	3.02	Microsoft Windows	http://musescore.com/user/22249306/scores/4778176		"Von fremden Ländern und Menschen
(Of Foreign Lands and Peoples)"	Robert Schumann	3.6.2	2.5.4	MS3	MS3/n01.mscx	False	42-79 (F#2-G5)	https://imslp.org/wiki/Kinderszenen,_Op.15_(Schumann,_Robert)	https://musicbrainz.org/work/04bf8808-7a43-30e1-97e9-5a6a8bcfdb96	https://viaf.org/viaf/174865068/	https://www.wikidata.org/wiki/Q1569982		https://imslp.org/wiki/Special:ReverseLookup/67290	62-79 (D4-G5)	Piano	42-69 (F#2-A4)	Piano
n02	1: 3/4	1: 2	43	40	120.0	43	40	120.0		471.0	622	194	0	0	123	D	2.3.0	Tal Soker (2.1.1), John Heilig (2.3.0)	AN, JHei, JH	Tom Schreyer	1838	1839	OxfordMusicOnline	Robert Schumann	Kinderszenen	2	Kuriose Geschichte	Op.15					2017-03-11	3.02	Microsoft Windows	http://musescore.com/user/22249306/scores/4778176		"Kuriose Geschichte
(A Funny Story)"	Robert Schumann	3.6.2	2.5.3	MS3	MS3/n02.mscx	False	45-81 (A2-A5)	https://imslp.org/wiki/Kinderszenen,_Op.15_(Schumann,_Robert)	https://musicbrainz.org/work/aafe4a73-09ed-3917-b187-4c3f515ac2c3	https://viaf.org/viaf/174865068/	https://www.wikidata.org/wiki/Q1569982		https://imslp.org/wiki/Special:ReverseLookup/67290	60-81 (B#3-A5)	Piano	45-73 (A2-C#5)	Piano
n03	1: 2/4	1: 2	32	31	64.0	32	31	64.0		177.5	406	253	0	0	58	b	2.3.0	Tal Soker (2.1.1), John Heilig (2.3.0)	AN, JHei, JH	Tom Schreyer	1838	1839	OxfordMusicOnline	Robert Schumann	Kinderszenen	3	Hasche-Mann	Op.15					2017-03-11	3.02	Microsoft Windows	http://musescore.com/user/22249306/scores/4778176		"Hasche-Mann
(Catch Me)"	Robert Schumann	3.6.2	2.5.4	MS3	MS3/n03.mscx	False	36-86 (C2-D6)	https://imslp.org/wiki/Kinderszenen,_Op.15_(Schumann,_Robert)	https://musicbrainz.org/work/7a8d4ff2-f178-39c5-b03b-4050606e11ef	https://viaf.org/viaf/174865068/	https://www.wikidata.org/wiki/Q1569982		https://imslp.org/wiki/Special:ReverseLookup/67290	48-86 (C3-D6)	Piano	36-71 (C2-B4)	Piano
n04	1: 2/4	1: 2	17	17	34.0	17	17	34.0		106.0	242	129	0	0	53	D	2.3.0	Tal Soker (2.1.1), John Heilig (2.3.0)	AN, JHei, JH	Tom Schreyer	1838	1839	OxfordMusicOnline	Robert Schumann	Kinderszenen	4	Bittendes Kind	Op.15					2017-03-11	3.02	Microsoft Windows	http://musescore.com/user/22249306/scores/4778176		"Bittendes Kind
(Pleading Child)"	Robert Schumann	3.6.2	2.5.4	MS3	MS3/n04.mscx	False	38-79 (D2-G5)	https://imslp.org/wiki/Kinderszenen,_Op.15_(Schumann,_Robert)	https://musicbrainz.org/work/47da16ab-9b11-3089-90a0-ceb4ad102b5d	https://viaf.org/viaf/174865068/	https://www.wikidata.org/wiki/Q1569982		https://imslp.org/wiki/Special:ReverseLookup/67290	49-79 (C#3-G5)	Piano	38-71 (D2-B4)	Piano
n05	1: 2/4	1: 2	19	16	36.5	42	40	81.0	[[[9, 10], [11, 12]]]	154.25	375	144	0	0	48	D	2.3.0	Tal Soker (2.1.1), John Heilig (2.3.0)	AN, JHei, JH	Tom Schreyer	1838	1839	OxfordMusicOnline	Robert Schumann	Kinderszenen	5	Glückes genug	Op.15					2017-03-11	3.02	Microsoft Windows	http://musescore.com/user/22249306/scores/4778176		"
; Glückes Genug
(Quite Happy); 
"	Robert Schumann	3.6.2	2.5.4	MS3	MS3/n05.mscx	False	33-81 (A1-A5)	https://imslp.org/wiki/Kinderszenen,_Op.15_(Schumann,_Robert)	https://musicbrainz.org/work/73bc48de-e12b-3263-b6d0-54ba8c81466c	https://viaf.org/viaf/174865068/	https://www.wikidata.org/wiki/Q1569982	measurcount differs from pdf � second house not excluded in original	https://imslp.org/wiki/Special:ReverseLookup/67290	54-81 (F#3-A5)	Piano	33-62 (A1-D4)	Piano
n06	1: 3/4	1: 3	27	24	72.0	36	32	96.0		365.5	440	100	0	0	84	A	2.3.0	Tal Soker (2.1.1), John Heilig (2.3.0)	AN, JHei	Tom Schreyer	1838	1839	OxfordMusicOnline	Robert Schumann	Kinderszenen	6	Wichtige Begebenheit	Op.15					2017-03-11	3.02	Microsoft Windows	http://musescore.com/user/22249306/scores/4778176		"Wichtige Begebenheit
(An Important Event)"	Robert Schumann	3.6.2	2.5.4	MS3	MS3/n06.mscx	False	25-81 (C#1-A5)	https://imslp.org/wiki/Kinderszenen,_Op.15_(Schumann,_Robert)	https://musicbrainz.org/work/ff539270-fcb9-3996-9247-bf382901278f	https://viaf.org/viaf/174865068/	https://www.wikidata.org/wiki/Q1569982		https://imslp.org/wiki/Special:ReverseLookup/67290	47-81 (B2-A5)	Piano	25-64 (C#1-E4)	Piano
n07	1: 4/4	1: -1	25	24	97.0	33	32	129.0		428.5	360	162	0	0	71	F	2.3.0	Tal Soker (2.1.1), John Heilig (2.3.0)	AN, JHei	Tom Schreyer	1838	1839	OxfordMusicOnline	Robert Schumann	Kinderszenen	7	Träumerei	Op.15					2017-03-11	3.02	Microsoft Windows	http://musescore.com/user/22249306/scores/4778176		"
; Träumerei
(Daydreaming)"	Robert Schumann	3.6.2	2.5.3	MS3	MS3/n07.mscx	False	34-82 (Bb1-Bb5)	https://imslp.org/wiki/Kinderszenen,_Op.15_(Schumann,_Robert)	https://musicbrainz.org/work/437982b9-be3c-3b17-a102-f34cc46504aa	https://viaf.org/viaf/174865068/	https://www.wikidata.org/wiki/Q1569982		https://imslp.org/wiki/Special:ReverseLookup/67290	53-82 (F3-Bb5)	Piano	34-76 (Bb1-E5)	Piano
n08	1: 2/4	1: -1	34	32	66.5	49	48	96.5	[[[25], [26]]]	272.5	367	126	0	0	73	F	2.3.0	Tal Soker (2.1.1), John Heilig (2.3.0)	AN, JHei	Tom Schreyer	1838	1839	OxfordMusicOnline	Robert Schumann	Kinderszenen	8	Am Kamin	Op.15					2017-03-11	3.02	Microsoft Windows	http://musescore.com/user/22249306/scores/4778176		"
; Am Kamin
(By the Fire); 
"	Robert Schumann	3.6.2	2.5.4	MS3	MS3/n08.mscx	False	29-81 (F1-A5)	https://imslp.org/wiki/Kinderszenen,_Op.15_(Schumann,_Robert)	https://musicbrainz.org/work/2fe296f5-9409-3e9c-9606-d0be330e6f73	https://viaf.org/viaf/174865068/	https://www.wikidata.org/wiki/Q1569982	measurcount differs from pdf � second house not excluded in original	https://imslp.org/wiki/Special:ReverseLookup/67290	48-81 (C3-A5)	Piano	29-71 (F1-B4)	Piano
n09	1: 3/4	1: 0	24	24	72.0	48	48	144.0		308.5	282	120	0	0	46	C	2.3.0	Tal Soker (2.1.1), John Heilig (2.3.0)	AN. JHei	Tom Schreyer	1838	1839	OxfordMusicOnline	Robert Schumann	Kinderszenen	9	Ritter von Steckenpferd	Op.15					2017-03-11	3.02	Microsoft Windows	http://musescore.com/user/22249306/scores/4778176		"
; Ritter vom Steckenpferd
(Knight of the Rocking Horse)"	Robert Schumann	3.6.2	2.5.4	MS3	MS3/n09.mscx	False	31-81 (G1-A5)	https://imslp.org/wiki/Kinderszenen,_Op.15_(Schumann,_Robert)	https://musicbrainz.org/work/856d54fc-8fe3-35f8-a4e2-7aec962d40e3	https://viaf.org/viaf/174865068/	https://www.wikidata.org/wiki/Q1569982		https://imslp.org/wiki/Special:ReverseLookup/67290	60-81 (C4-A5)	Piano	31-67 (G1-G4)	Piano
n10	1: 2/8	1: 5	58	57	58.25	58	57	58.25		173.0	426	210	0	0	67	g#	2.3.0	Tal Soker (2.1.1), John Heilig (2.3.0)	AN, JHei	Tom Schreyer	1838	1839	OxfordMusicOnline	Robert Schumann	Kinderszenen	10	Fast zu ernst	Op.15					2017-03-11	3.02	Microsoft Windows	http://musescore.com/user/22249306/scores/4778176		"
; Fast zu Ernst
(Almost too Serious)"	Robert Schumann	3.6.2	2.5.4	MS3	MS3/n10.mscx	False	32-80 (G#1-G#5)	https://imslp.org/wiki/Kinderszenen,_Op.15_(Schumann,_Robert)	https://musicbrainz.org/work/7586187c-8d78-3516-9dc2-cf66c7b7a77b	https://viaf.org/viaf/174865068/	https://www.wikidata.org/wiki/Q1569982		https://imslp.org/wiki/Special:ReverseLookup/67290	58-80 (A#3-G#5)	Piano	32-71 (G#1-B4)	Piano
n11	1: 2/4	1: 1	48	48	96.0	64	64	128.0		341.0	561	239	0	0	140	e	2.3.0	Tal Soker (2.1.1), John Heilig (2.3.0)	AN, JHei	Tom Schreyer	1838	1839	OxfordMusicOnline	Robert Schumann	Kinderszenen	11	Fürchtenmachen	Op.15					2017-03-11	3.02	Microsoft Windows	http://musescore.com/user/22249306/scores/4778176		"
; Fürchtenmachen
(Frightening); 
"	Robert Schumann	3.6.2	2.5.4	MS3	MS3/n11.mscx	False	31-79 (G1-G5)	https://imslp.org/wiki/Kinderszenen,_Op.15_(Schumann,_Robert)	https://musicbrainz.org/work/5e1e2af7-25f2-3448-a94c-40ffe3335a7f	https://viaf.org/viaf/174865068/	https://www.wikidata.org/wiki/Q1569982		https://imslp.org/wiki/Special:ReverseLookup/67290	55-79 (G3-G5)	Piano	31-67 (G1-G4)	Piano
