mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	4/4	2	1	F.V{	0	-5.23077		/		F	I		V	V						{	M	0	0	0, 4, 1		0.0	0.0	0	1	0.0	0.0	0.25	0.0
2	1	0	0	4/4	2	1	I	0	-5.23077		/		F	I		I	I							M	0	0	-1, 3, 0		-1.0	-1.0	1	15	0.0625	0.125	6.125	0.02
3	2	1/4	1/4	4/4	2	1	IV						F	I		IV	IV							M	0	0	-2, 2, -1		-2.0	-2.0	2	8	0.2	0.25	2.75	0.08333333333333333
4	3	0	0	4/4	2	1	V(64)						F	I		V(64)	V			64				M	0	0	0, -1, 3		0.0	0.0	0	5	0.0	0.0	1.0	0.0
4	3	1/4	1/4	4/4	2	1	V7						F	I		V7	V		7					Mm7	0	0	0, 4, 1, -2		0.0	0.0	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
4	3	1/2	1/2	4/4	2	1	V7(9)						F	I		V7(9)	V		7	9				Mm7	0	0	0, 4, 1, -2	2	0.0	0.0	0	3	0.0	0.0	0.5	0.0
4	3	3/4	3/4	4/4	2	1	I6						F	I		I6	I		6					M	0	0	3, 0, -1		-1.0	3.0	0	4	0.0	0.0	0.625	0.0
4	3	7/8	7/8	4/4	2	1	V						F	I		V	V							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
5	4	0	0	4/4	2	1	I						F	I		I	I							M	0	0	-1, 3, 0		-1.0	-1.0	0	6	0.0	0.0	1.125	0.0
5	4	1/4	1/4	4/4	2	1	V|HC}						F	I		V	V					HC	}	M	0	0	0, 4, 1		0.0	0.0	2	6	0.25	0.25	2.25	0.1
5	4	3/4	3/4	4/4	2	1	V64					V43{	F	I		V64	V		64					M	0	0	1, 0, 4		0.0	1.0	1	3	0.25	0.125	0.625	0.16666666666666666
6	5	0	0	4/4	2	1	I						F	I		I	I							M	0	0	-1, 3, 0		-1.0	-1.0	1	15	0.0625	0.125	6.125	0.02
7	6	1/4	1/4	4/4	2	1	V65/vi						F	I		V65/vi	V		65		vi			Mm7	0	0	7, 4, 1, 3		3.0	7.0	1	9	0.1	0.125	3.625	0.03333333333333333
8	7	0	0	4/4	2	1	vi						F	I		vi	vi							m	0	0	2, -1, 3		2.0	2.0	0	7	0.0	0.0	1.875	0.0
8	7	3/8	3/8	4/4	2	1	V.iv						F	V		iv	iv							m	0	0	-1, -4, 0		-1.0	-1.0	0	4	0.0	0.0	0.5	0.0
8	7	1/2	1/2	4/4	2	1	V(64)						F	V		V(64)	V			64				M	0	0	1, 0, 4		1.0	1.0	0	6	0.0	0.0	1.5	0.0
8	7	7/8	7/8	4/4	2	1	viio65/V	-2.10553	3.91677		/		F	V		viio65/V	vii	o	65		V			o7	0	0	3, 0, -3, 6		6.0	3.0	0	4	0.0	0.0	0.5	0.0
9	8	0	0	4/4	2	1	V7	0	3.7781		/		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	5	0.0	0.0	1.5	0.0
9	8	1/4	1/4	4/4	2	1	V7(6)						F	V		V7(6)	V		7	6				Mm7	0	0	1, 5, 4, -1		1.0	1.0	1	2	0.3333333333333333	0.125	0.375	0.25
9	8	1/2	1/2	4/4	2	1	I|PAC}						F	V		I	I					PAC	}	M	0	0	0, 4, 1		0.0	0.0	2	5	0.2857142857142857	0.25	1.0	0.2
9	8	7/8	7/8	4/4	2	1	I.V43{						F	I		V43	V		43				{	Mm7	0	0	1, -2, 0, 4		0.0	1.0	0	2	0.0	0.0	0.25	0.0
10	9	0	0	4/4	2	1	I						F	I		I	I							M	0	0	-1, 3, 0		-1.0	-1.0	1	12	0.07692307692307693	0.125	5.375	0.022727272727272728
11	10	1/8	1/8	4/4	2	1	ii.iv7						F	ii		iv7	iv		7					mm7	0	1	0, -3, 1, -2		0.0	0.0	0	4	0.0	0.0	0.5	0.0
11	10	1/4	1/4	4/4	2	1	V(9)						F	ii		V(9)	V			9				M	0	1	2, 6, 3	-3	2.0	2.0	0	8	0.0	0.0	2.5	0.0
11	10	3/4	3/4	4/4	2	1	V						F	ii		V	V							M	0	1	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.5	0.0
11	10	7/8	7/8	4/4	2	1	V65	-0.392308	-6.53846		/		F	ii		V65	V		65					Mm7	0	1	6, 3, 0, 2		2.0	6.0	0	2	0.0	0.0	0.25	0.0
12	11	0	0	4/4	2	1	i						F	ii		i	i							m	0	1	1, -2, 2		1.0	1.0	0	6	0.0	0.0	1.5	0.0
12	11	3/8	3/8	4/4	2	1	#viio43						F	ii		#viio43	#vii	o	43					o7	0	1	0, -3, 6, 3		6.0	0.0	0	4	0.0	0.0	0.5	0.0
12	11	1/2	1/2	4/4	2	1	V(64)						F	ii		V(64)	V			64				M	0	1	2, 1, -2		2.0	2.0	0	6	0.0	0.0	1.5	0.0
12	11	7/8	7/8	4/4	2	1	iio64	-0.784615	-6.53846		/		F	ii		iio64	ii	o	64					o	0	1	-3, 3, 0		3.0	-3.0	0	3	0.0	0.0	0.375	0.0
13	12	0	0	4/4	2	1	V(64)						F	ii		V(64)	V			64				M	0	1	2, 1, -2		2.0	2.0	0	5	0.0	0.0	1.125	0.0
13	12	3/8	3/8	4/4	2	1	V7						F	ii		V7	V		7					Mm7	0	1	2, 6, 3, 0		2.0	2.0	0	4	0.0	0.0	0.5	0.0
13	12	1/2	1/2	4/4	2	1	i64(2)}						F	ii		i64(2)	i		64	2			}	m	0	1	2, 3, -2		1.0	2.0	2	4	0.3333333333333333	0.25	0.75	0.25
13	12	3/4	3/4	4/4	2	1	i|IAC						F	ii		i	i					IAC		m	0	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	0.25	0.0
13	12	7/8	7/8	4/4	2	1	V6/III{	-0.896989	9.3582		/		F	ii		V6/III	V		6		III		{	M	0	1	3, 0, -1		-1.0	3.0	0	3	0.0	0.0	0.375	0.0
14	13	0	0	4/4	2	1	III						F	ii		III	III							M	0	1	-2, 2, -1		-2.0	-2.0	1	11	0.08333333333333333	0.125	4.5	0.02702702702702703
15	14	1/8	1/8	4/4	2	1	vi.iv7						F	vi		iv7	iv		7					mm7	0	1	1, -2, 2, -1		1.0	1.0	0	3	0.0	0.0	0.375	0.0
15	14	1/4	1/4	4/4	2	1	V(9)						F	vi		V(9)	V			9				M	0	1	3, 7, 4	-2	3.0	3.0	0	8	0.0	0.0	2.5	0.0
15	14	3/4	3/4	4/4	2	1	V	0	-9.15385		/		F	vi		V	V							M	0	1	3, 7, 4		3.0	3.0	0	3	0.0	0.0	0.5	0.0
15	14	7/8	7/8	4/4	2	1	V65	0	-8.96385		/		F	vi		V65	V		65					Mm7	0	1	7, 4, 1, 3		3.0	7.0	0	2	0.0	0.0	0.25	0.0
16	15	0	0	4/4	2	1	i	0.130769	-9.02308		/		F	vi		i	i							m	0	1	2, -1, 3		2.0	2.0	0	6	0.0	0.0	1.5	0.0
16	15	3/8	3/8	4/4	2	1	#viio43	0	-9.15385		/		F	vi		#viio43	#vii	o	43					o7	0	1	1, -2, 7, 4		7.0	1.0	0	4	0.0	0.0	0.5	0.0
16	15	1/2	1/2	4/4	2	1	V(64)	0	-9.15385		/		F	vi		V(64)	V			64				M	0	1	3, 2, -1		3.0	3.0	0	6	0.0	0.0	1.5	0.0
16	15	7/8	7/8	4/4	2	1	iio64	-1.30769	-9.15385		/		F	vi		iio64	ii	o	64					o	0	1	-2, 4, 1		4.0	-2.0	0	3	0.0	0.0	0.375	0.0
17	16	0	0	4/4	2	1	V(64)	0	-9.15385		/		F	vi		V(64)	V			64				M	0	1	3, 2, -1		3.0	3.0	0	5	0.0	0.0	1.25	0.0
17	16	3/8	3/8	4/4	2	1	V7	0	-7.84615		/		F	vi		V7	V		7					Mm7	0	1	3, 7, 4, 1		3.0	3.0	0	4	0.0	0.0	0.5	0.0
17	16	1/2	1/2	4/4	2	1	i(64)						F	vi		i(64)	i			64				m	0	1	2, 1, -2		2.0	2.0	3	1	0.75	0.625	0.25	0.7142857142857143
17	16	5/8	5/8	4/4	2	1	I.IVM7						F	I		IVM7	IV	M	7					MM7	0	0	-2, 2, -1, 3		-2.0	-2.0	0	1	0.0	0.0	0.125	0.0
17	16	3/4	3/4	4/4	2	1	V|HC}						F	I		V	V					HC	}	M	0	0	0, 4, 1		0.0	0.0	1	4	0.2	0.125	0.75	0.14285714285714285
18	17	0	0	4/4	2	1	I{						F	I		I	I						{	M	0	0	-1, 3, 0		-1.0	-1.0	1	16	0.058823529411764705	0.125	6.125	0.02
19	18	1/4	1/4	4/4	2	1	IV						F	I		IV	IV							M	0	0	-2, 2, -1		-2.0	-2.0	2	8	0.2	0.25	2.75	0.08333333333333333
20	19	0	0	4/4	2	1	V(64)						F	I		V(64)	V			64				M	0	0	0, -1, 3		0.0	0.0	0	5	0.0	0.0	1.0	0.0
20	19	1/4	1/4	4/4	2	1	V7						F	I		V7	V		7					Mm7	0	0	0, 4, 1, -2		0.0	0.0	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
20	19	1/2	1/2	4/4	2	1	V7(9)						F	I		V7(9)	V		7	9				Mm7	0	0	0, 4, 1, -2	2	0.0	0.0	0	3	0.0	0.0	0.5	0.0
20	19	3/4	3/4	4/4	2	1	I6						F	I		I6	I		6					M	0	0	3, 0, -1		-1.0	3.0	0	4	0.0	0.0	0.625	0.0
20	19	7/8	7/8	4/4	2	1	V						F	I		V	V							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
