mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	C.I6{					C	I		I6		I		6					{	M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	1.5	0.0
1	1	1/4	1/4	3/4	2	1	V[I6					C	I	V	I6		I		6						M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.75	0.0
1	1	1/2	1/2	3/4	2	1	I6(#2#46)					C	I		I6(#2#46)		I		6	#2#46					M	0	0	9, 3, 6, 0		0	9	0	4	0.0	0.0	1.0	0.0
2	2	0	0	3/4	2	1	I6					C	I		I6		I		6						M	0	0	4, 1, 0		0	4	0	8	0.0	0.0	2.5	0.0
2	2	1/2	1/2	3/4	2	1	I					C	I		I		I								M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
3	3	0	0	3/4	2	1	V43(4)					C	I		V43(4)		V		43	4					Mm7	0	0	2, -1, 1, 0		1	2	0	8	0.0	0.0	2.5	0.0
3	3	1/2	1/2	3/4	2	1	V6					C	I		V6		V		6						M	0	0	5, 2, 1		1	5	0	4	0.0	0.0	1.0	0.0
4	4	0	0	3/4	2	1	I					C	I		I		I								M	0	0	0, 4, 1		0	0	0	12	0.0	0.0	3.5	0.0
5	5	0	0	3/4	2	1	I6					C	I		I6		I		6						M	0	0	4, 1, 0		0	4	0	7	0.0	0.0	2.0	0.0
5	5	1/2	1/2	3/4	2	1	IV					C	I		IV		IV								M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
6	6	0	0	3/4	2	1	I6					C	I		I6		I		6						M	0	0	4, 1, 0		0	4	0	7	0.0	0.0	2.0	0.0
6	6	1/2	1/2	3/4	2	1	I					C	I		I		I								M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.75	0.0
